Conutry_Adress,Descripiton,Founded_Year,Horly_Rate,Number_of_Employees,Phone_Number,Project_Size,Street_Adress,company_name,company_website
United States,Hamiltonian Group is a boutique technical consulting firm. We provide bespoke technical solutions to satisfy the diverse needs of our clients. Our aim is to generate value by producing actionable intelligence insights through skillful use of data and thoughtful application of mathematics and technology.,Founded 2016,$150 - $199 / hr,2 - 9,2026072725,"$1,000+",2201 Wisconsin Ave NW Suite 200,Hamiltonian Group,https://www.hamiltoniangroup.com/
India,"Dataeaze systems is focussed on making it easy for organisations to work with data. Dataeaze helps its customers build an analytics data platform around a modern big data ecosystem. Organisations assisted by Dataeaze get the benefit of quick bring up of a robust data platform with analytics capabilities brought up as per need. This data platform enables the full set of data analytics capabilities like Scheduled ETL, interactive data processing, BI, and real-time stream analysis.",Founded 2015,$25 - $49 / hr,10 - 49,+ 1 (408) 650 6056,"$10,000+","Plot no 41, Lane no 3, Shivaji Housing Society, S B Road, Shivaji Nagar, Pune, MAHARASHTRA",Dataeaze Systems,http://www.dataeaze.io/
,"FiniteSum is a London-Based Data Science and Machine Learning Consultancy that helps world-leading companies innovate. Over 10 years of experience, from Predictive Analytics to Computer Vision and NLP systems. Skills in: R, Python, Tensorflow.",Founded 0,Undisclosed,2 - 9,,"$10,000+",,FiniteSum,https://finitesum.com
Argentina,"We are a technology solutions implementation services company, ready to identify valuable and innovative ways to use data and information. We seek to respond in an agile and efficient way to the problems of Analytics in our clients focusing on reaching beyond a punctual analysis, to build together the solution that best suits their needs for information management.",Founded 2015,$25 - $49 / hr,50 - 249,7866943163,"$1,000+",1515 Avenida Olazábal,Taligent SA,https://www.taligent.com.ar/
United States,We help people face the challenge of converting data into structured information that supports effective decision-making.,Founded 1996,$100 - $149 / hr,10 - 49,317.423.9143,"$10,000+",152 E Washington St,Pinnacle Solutions,http://thepinnaclesolutions.com
United States,"Scry AI invents, designs, and develops cutting-edge technology-based Enterprise solutions powered by Machine Learning, Natural Language Processing, Big Data, and Computer Vision.",Founded 2014,Undisclosed,250 - 999,(408) 740-8017,"$25,000+",2635 North First Street,Scry AI,https://scryai.com/
Tanzania,"is an AI company that aims to help companies and businesses transform their customer experiences using conversational AI (chatbots) that can serve customers across multiple channels such as WhatsApp, Messenger, and Telegram",Founded 2022,$25 - $49 / hr,2 - 9,+(255) 757 294 146,"$1,000+","Binary Institute BIT Plot No 543 Maputo Street, Kunduchi ,Dar es salaam",Neurotech Africa Company Limited,https://neurotech.africa/
India,"Cartesian specializes in analytics that helps businesses improve customer value, marketing spends, and business decisions. Set up in 2009 Cartesian is over 200 people strong, present in 5 offices across India, APAC and North America.",Founded 2009,$25 - $49 / hr,50 - 249,+91 22 4050 3200,"$10,000+","E-301, 3rd Floor, Lotus Corporate Park, Off Western Express Highway, Jay Coach Area, Laxmi Nagar, Goregaon (E)",Cartesian Consulting,http://www.cartesianconsulting.com
Kenya,,Founded 2020,Undisclosed,10 - 49,0743144398,"$1,000+",21423,NdovuCloud Technologies,https://ndovucloud.com?utm_source=clutchco&utm_medium=businesslisting
Poland,Veturai is a company specializing in providing our clients with machine learning and big data solutions.,Founded 2017,$100 - $149 / hr,10 - 49,+48601325542,"$10,000+",Warsaw,Veturai,http://veturai.com
United States,"helps customers accelerate innovation through high-quality corporate training and consulting on cutting edge technology like Artificial Intelligence, Data Science, Big Data, Blockchain, Augmented, and Virtual Reality, etc. Big Data Trunk is a proud Google Cloud Partner and developing some fascinating Data and AI products. Services",Founded 2008,$50 - $99 / hr,10 - 49,415-484-6702,"$1,000+","39111 Paseo Padre Parkway,",Big Data Trunk,https://bigdatatrunk.com/
United States,Cuelogic focuses on world-class software engineering by building Cloud Native & Data-Driven applications for SMEs to Large Enterprises. We are a technology-driven agile organization focusing on building and managing software products using cutting technology to leverage scalability and cost advantages.,Founded 2007,$25 - $49 / hr,250 - 999,+1 347-374-8437,"$25,000+","134 W 29th St, #905",Cuelogic Technologies,https://www.cuelogic.com
Poland,DatBI (Offices in Warsaw and Kyiv)  is a company specialising in the creation of data-driven products and data consulting.,Founded 2021,$25 - $49 / hr,10 - 49,+48731027582,"$5,000+",UL. JULIANA URSYNA NIEMCEWICZA 17 /11,DatBI,https://datbi.eu/
Türkiye,"SnA is a business analytics consultancy based in Istanbul, Turkey with active projects in the EMEA region. SnA helps bluechips in Banking, Insurance, Telco and Retail understand their transaction level history and produce predictive analysis and forecasts.",Founded 2007,Undisclosed,10 - 49,+902122681550,Undisclosed,Buyukdere C. No: 201 Esentepe Sisli,SnA Consulting,http://www.sna-consult.com
Ukraine,"We deliver the power of AI development, Machine Learning solutions, and Cloud Computing to companies of all sizes.",Founded 2013,$50 - $99 / hr,50 - 249,+38 044 392 8063,"$10,000+","Donska St, 4А",The APP Solutions,https://theappsolutions.com
,is a software development company with deep expertise in the healthcare industry. Successfully working with healthcare giants and midsize businesses since 2007.,Founded 2007,$50 - $99 / hr,50 - 249,,"$50,000+",,VITech,https://vitechteam.com/?utm_source=clutch.co&utm_medium=referral
,,,,,,,,Chick Digital,https://chickdigital.co.uk/
United States,"[x]cube LABS is a leading digital transformation agency that focuses on customer experience, application modernization, product engineering, and data lakes. With a presence in the US, Europe, Asia & India we have 600+ people working on key projects with leading Fortune 500 companies.",Founded 2008,$50 - $99 / hr,250 - 999,1-800-805-5783,"$25,000+","1920 McKinney Ave, Floor 7",[x]cube LABS,https://www.xcubelabs.com/
Chile,"Küdaw is the leading company in using data science for business. We deliver advanced data analytics and artificial intelligence technology solutions to grow business, improve customer and employee experience and streamline a company's operations. Through our solutions you can implement:",Founded 2010,Undisclosed,50 - 249,+56222327956,"$25,000+",Dr. Manuel Barros Borgoño 71,Kudaw,https://www.kudaw.com/home
United States,"As our mission says ""We help our customers make a positive impact on their business with inspiring, intelligent and high-quality solutions, powered by the most advanced cloud technology"".",Founded 2006,$100 - $149 / hr,250 - 999,425-979-0294,"$25,000+",8201 164TH AVE NE,Plain Concepts,https://www.plainconcepts.com
United Kingdom,"Arria NLG’s software solutions explain complex data sets in articulate language. Our core product, the Arria NLG Platform, combines cutting-edge techniques in data analytics, artificial intelligence, and computational linguistics. It analyses large and diverse data sets and automatically writes tailored, actionable reports on what's happening within that data, with no human intervention, at vast scale and speed. If your company is drowning in data we can help.",Founded 2013,Undisclosed,50 - 249,+4420.7100.4540,Undisclosed,1 Beadon Road,Arria NLG plc,https://www.arria.com
Uganda,We are a data science agency and consulting firm. We build Business Intelligence products and services to elevate your business perspective.,Founded 2020,$25 - $49 / hr,50 - 249,+256703484263,"$1,000+",1 The Quarry Road,Pearl Data Firm,https://pearldatafirm.com/
